Timestamp_Seconds	Memory_Usage_MB
0.14	43.00
1.27	205.22
2.41	317.19
3.55	393.41
4.69	445.67
5.83	651.67
6.97	932.23
8.11	1631.75
9.25	1790.86
10.40	430.69
11.62	5263.79
12.84	5269.15
14.06	5269.44
15.28	5269.51
16.51	5269.53
17.73	5269.55
18.95	5269.57
20.17	5254.26
21.39	5190.45
22.61	5252.46
23.83	5291.18
25.05	5092.31
26.27	5255.57
27.49	4919.10
28.70	4730.32
29.92	5065.40
31.12	3874.43
32.30	3153.09
33.47	3021.71
34.65	3162.01
35.82	2541.83
36.98	2533.34
38.14	2535.67
39.31	2538.09
40.47	2543.36
41.63	2585.24
42.80	2586.34
43.96	2587.67
45.12	2610.68
46.30	2660.07
47.48	3122.82
48.65	3123.76
49.83	3123.84
51.00	3123.87
52.18	3123.87
53.35	3123.88
54.53	3123.88
55.70	3116.85
56.88	3190.94
58.06	3113.64
59.23	3120.74
60.41	3113.50
61.59	3120.74
62.76	2974.25
63.93	2840.41
65.11	2989.73
66.28	3137.03
67.46	3142.41
68.64	3245.82
69.81	3336.68
71.00	3443.82
72.18	3448.43
73.36	3454.58
74.54	3468.64
75.72	3486.42
76.90	3486.43
78.08	3487.14
79.26	3488.77
80.44	3490.62
81.62	3490.62
82.81	3490.62
83.99	3503.66
85.17	3490.69
86.35	3490.69
87.53	3490.69
88.72	3518.88
89.90	3518.88
91.08	3531.50
92.26	3538.81
93.44	3539.79
94.63	3539.79
95.79	2615.94
96.95	2615.94
98.12	2615.94
99.29	2615.94
100.45	2615.99
101.61	2617.02
102.78	2617.02
103.94	2617.02
105.11	2617.02
106.27	2617.82
107.44	2617.82
108.61	2617.82
109.77	2617.82
110.94	2617.82
112.10	2617.82
113.27	2617.82
114.43	2617.82
115.60	2617.82
116.76	2617.82
117.92	2617.82
119.09	2459.42
120.25	2459.52
121.42	2459.52
122.58	2485.51
123.74	2459.52
124.91	2459.52
126.07	2459.52
127.23	2459.52
128.40	2523.97
129.56	2459.52
130.73	2459.52
131.95	5263.80
133.17	5270.42
134.40	5270.79
135.62	5270.86
136.84	5270.90
138.06	5270.91
139.29	5270.93
140.51	5256.02
141.73	5053.40
142.95	5309.83
144.17	5272.32
145.40	5034.60
146.62	5268.81
147.84	5140.39
149.05	4677.40
150.28	4766.71
151.51	5220.75
152.74	5272.93
153.96	5278.83
155.19	5278.96
156.42	5331.10
157.65	5269.29
158.87	5270.64
160.10	5263.36
161.33	5307.40
162.55	5280.97
163.78	5263.80
165.00	5310.91
166.23	5298.83
167.45	5060.65
168.67	4749.80
169.89	4986.86
171.12	4976.73
172.35	5341.58
173.58	5320.36
174.81	5124.70
176.03	5030.63
177.26	5194.77
178.49	5254.03
179.70	4432.74
180.92	4549.00
182.13	4570.80
183.34	4551.46
184.56	4553.17
185.77	4550.41
186.98	4554.79
188.18	4406.54
189.39	4485.50
190.60	4551.80
191.81	4698.65
193.02	4510.30
194.21	3816.48
195.41	3935.08
196.60	3804.12
197.79	3881.88
198.99	4010.54
200.19	4132.59
201.39	4173.57
202.57	3364.10
203.75	3409.25
204.93	3480.48
206.12	3500.78
207.30	3504.32
208.48	3520.52
209.67	3536.89
210.83	2615.64
212.00	2615.64
213.16	2616.20
214.33	2617.00
215.49	2617.00
216.66	2617.00
217.82	2617.00
218.99	2617.80
220.15	2617.81
221.32	2617.81
222.48	2617.81
223.65	2617.81
224.81	2617.81
225.98	2617.81
227.14	2617.81
228.36	4138.22
229.59	5270.56
230.81	5272.35
232.03	5272.48
233.26	5272.53
234.48	5272.55
235.70	5272.56
236.92	5272.56
238.14	5259.52
239.37	5264.75
240.59	5259.05
241.81	5326.79
243.03	4852.58
244.25	5274.88
245.47	4963.73
246.68	4530.83
247.90	5066.86
249.13	5266.42
250.35	5180.82
251.58	5441.56
252.81	5689.15
254.04	5946.53
255.28	5998.04
256.52	6083.28
257.75	6182.72
258.99	6238.13
260.24	6267.92
261.48	6273.82
262.72	6291.16
263.96	6308.75
265.18	5386.19
266.39	4461.93
267.58	3538.65
268.76	3540.04
269.95	3541.77
271.12	2617.04
272.28	2617.04
273.45	2617.04
274.61	2617.04
275.78	2617.04
276.94	2617.04
278.11	2617.04
279.27	2617.04
280.43	2617.04
281.61	3146.94
282.79	3155.90
283.97	3156.22
285.15	3156.27
286.32	3156.28
287.50	3156.29
288.68	3156.30
289.85	3148.15
291.03	3179.20
292.21	3215.92
293.38	3150.14
294.56	2935.25
295.73	3149.51
296.91	3183.63
298.09	3225.50
299.26	3150.14
300.44	3234.14
301.61	3147.66
302.79	3179.63
303.97	3225.29
305.14	3150.14
306.32	3241.36
307.50	3147.66
308.67	3177.63
309.85	3225.18
311.03	3150.14
312.20	3243.79
313.38	3146.52
314.56	3160.01
315.73	3225.25
316.91	3151.29
318.09	3253.65
319.26	3564.17
320.44	3566.43
321.62	3566.52
322.80	3566.55
323.97	3566.56
325.15	3566.56
326.33	3566.56
327.50	3566.56
328.68	3568.17
329.86	3439.33
331.04	3559.73
332.21	3614.07
333.39	3530.56
334.57	3563.35
335.75	3451.45
336.92	3559.74
338.10	3612.07
339.28	3553.71
340.46	3563.35
341.63	3425.70
342.81	3559.74
343.99	3612.08
345.17	3556.12
346.35	3563.35
347.52	3425.15
348.70	3559.87
349.88	3596.45
351.06	3556.12
352.24	3563.35
353.42	3654.21
354.59	3560.36
355.76	3600.16
356.94	3973.48
358.11	3976.52
359.28	3976.66
360.46	3976.69
361.63	3976.70
362.81	3976.70
363.98	3976.70
365.15	3976.70
366.33	4006.61
367.50	3906.51
368.67	3973.48
369.85	4137.12
371.02	3969.87
372.20	4001.39
373.37	3905.86
374.54	3973.48
375.72	4137.17
376.90	3968.02
378.08	4001.39
379.25	3901.22
380.43	3973.48
381.61	4137.67
382.79	3968.02
383.97	3999.39
385.15	3927.52
386.33	3973.48
