Timestamp_Seconds	Memory_Usage_MB
0.14	40.55
1.28	201.73
2.43	313.71
3.57	372.19
4.72	3420.10
5.86	3420.16
7.01	6254.73
8.18	9370.86
9.40	11728.76
10.64	9530.01
11.88	9530.01
13.12	9530.01
14.36	9530.01
15.60	9530.01
16.86	13488.00
18.16	15625.83
19.46	15625.83
20.77	15985.36
22.14	18673.74
23.51	18676.05
24.88	18676.05
26.24	18676.18
27.61	18676.18
29.02	20856.79
30.49	23796.35
31.97	24772.00
33.45	24772.00
34.93	24772.00
36.41	24772.00
37.89	24772.00
39.40	26452.41
40.97	29316.67
42.55	30670.59
44.05	25020.40
45.55	26497.73
47.06	26520.50
49.11	16267.53
52.87	29359.52
56.63	29359.68
60.40	29339.23
64.16	29426.43
67.92	29224.22
70.81	27101.51
73.24	27748.63
75.67	28035.64
77.68	23196.13
79.69	27807.80
81.69	27913.54
83.70	28018.89
85.72	28123.05
87.73	28226.24
89.75	28334.01
91.77	28437.30
93.79	28543.05
95.44	13562.12
97.88	28012.95
100.32	28013.15
102.76	28013.17
105.20	28013.17
107.64	28008.07
110.09	28063.36
112.53	28011.36
114.97	27930.74
117.41	28064.47
119.86	28261.77
122.31	28523.47
124.76	28781.93
127.23	29047.39
129.70	29309.66
132.17	29574.31
134.65	29840.93
137.14	30102.15
139.62	30176.90
142.08	29531.28
144.55	30445.00
147.02	30654.05
149.49	30847.67
151.51	24775.37
153.53	29113.52
155.55	29196.60
157.57	29285.16
159.59	29350.80
161.62	29436.11
163.64	29509.37
165.67	29605.71
167.70	29706.45
169.73	29807.29
171.76	29911.07
173.80	30013.56
175.84	30113.78
177.88	30217.09
179.93	30319.03
181.97	30402.68
184.02	30453.75
186.07	30497.44
188.12	30553.52
190.16	30615.16
192.22	30677.09
194.27	30712.44
195.83	14342.51
198.94	19422.94
202.71	29357.98
206.48	29358.02
210.26	29334.62
214.03	29351.13
217.80	29412.81
220.91	19469.45
224.68	29358.48
228.44	29351.11
232.21	29374.57
235.97	29431.60
239.56	24467.85
242.94	24433.84
246.26	24450.88
249.58	28910.00
252.90	28925.08
256.23	28924.28
259.55	28932.55
262.87	28947.55
266.20	30991.98
269.09	28714.40
271.99	29231.73
274.90	29720.43
277.37	28873.12
279.84	29142.45
282.31	29406.96
284.79	29675.28
286.81	28356.88
288.83	28461.57
290.85	28565.03
292.88	28670.30
294.91	28777.13
296.92	28657.92
298.93	28755.95
300.94	28824.88
302.96	28899.21
304.98	28982.79
306.54	14332.97
309.65	19422.31
313.42	29356.62
317.19	29356.66
320.97	29381.32
324.74	29354.26
328.51	29206.96
332.29	29946.47
336.09	31032.83
339.91	32117.90
343.76	33209.89
347.62	35223.10
350.55	26362.84
353.02	30225.63
355.04	19658.31
357.05	28919.41
359.07	28995.46
361.08	29087.21
363.10	29162.30
364.75	13563.57
367.19	28040.58
369.64	28040.78
372.08	28040.80
374.52	28034.20
376.97	28035.75
379.41	28180.09
381.85	28037.96
384.30	28032.52
386.75	28089.64
389.19	28113.57
391.64	28034.58
394.09	28108.35
396.53	28053.22
398.98	28049.62
401.43	28180.62
403.88	28053.30
406.33	28241.02
408.78	28345.31
411.23	28245.31
413.69	28450.93
416.14	28453.22
418.60	28448.98
421.05	28447.23
423.51	28527.13
425.96	28446.42
428.42	28443.82
430.88	28521.66
433.33	28524.89
435.79	28447.66
438.25	28460.86
440.70	28540.31
443.16	28465.07
445.61	28511.61
448.07	28652.78
450.54	28732.24
452.99	28656.67
455.46	28863.00
457.92	28780.09
460.38	28864.96
462.84	28860.13
465.31	28932.83
467.78	28936.05
470.24	28858.76
472.71	28855.00
475.17	28932.71
477.64	28935.88
480.10	28860.69
482.57	28855.09
485.03	28933.35
487.50	28935.70
489.97	29065.57
492.44	29063.87
494.91	29143.38
497.38	29275.12
499.85	29269.13
502.32	29348.34
504.79	29272.93
507.26	29112.23
509.73	29268.25
512.21	29345.19
514.68	29267.79
517.15	29344.62
519.62	29267.85
522.10	29344.93
524.57	29267.89
527.04	29345.36
529.52	29476.74
532.00	29476.49
534.47	29474.74
536.94	29553.77
539.42	29686.04
541.90	29680.90
544.38	29680.11
546.86	29759.03
549.34	29738.57
551.81	29680.54
554.29	29675.82
556.78	29754.34
559.26	29757.31
561.73	29682.66
564.21	29677.07
566.69	29754.07
569.17	29757.98
571.66	29889.08
574.14	29889.49
576.63	29885.88
579.11	29966.77
581.60	30091.14
584.09	30170.29
586.57	30094.98
589.06	30093.01
591.55	30004.73
594.03	30175.58
596.52	30093.46
599.01	30087.86
601.50	30165.54
603.99	30169.64
606.48	30091.70
608.96	30089.80
611.46	30374.63
613.95	30300.55
616.44	30298.58
618.93	30296.82
621.42	30377.11
623.92	30505.75
626.42	30502.21
628.91	30581.37
631.41	30506.82
633.90	30500.66
636.40	30576.57
638.90	30579.34
641.40	30504.51
643.89	30500.78
646.39	30575.88
648.89	30579.78
651.38	30504.64
653.88	30707.23
656.38	30786.88
658.88	30711.57
661.38	30711.44
663.89	30991.65
666.39	30916.85
668.90	30916.74
671.40	30913.15
673.91	30848.94
676.41	30916.49
678.91	30913.37
681.42	30908.01
683.93	31067.15
686.43	30915.58
688.94	30913.49
691.44	30908.12
693.95	31066.27
696.46	31122.42
698.96	31122.33
701.47	31118.72
703.98	31198.41
706.50	31327.63
709.01	31324.07
711.52	31403.25
714.04	31328.61
716.55	31323.15
719.06	31318.93
721.58	31477.72
724.09	31326.51
726.60	31326.24
729.12	31319.03
731.64	31477.67
734.15	31326.61
736.66	31532.62
739.18	31529.54
741.70	31608.85
744.22	31533.33
746.74	31826.65
749.26	31738.42
751.78	31736.59
754.30	31734.85
756.82	31814.96
759.34	31737.03
761.87	31733.31
764.39	31808.91
766.91	31812.00
769.43	31737.13
771.95	31733.41
774.48	31809.08
777.00	31812.63
779.52	31943.96
782.05	31940.41
784.57	32020.00
787.10	31945.04
789.63	32145.95
792.16	32145.80
794.69	32224.77
797.21	32149.59
799.74	32173.25
802.27	32144.26
804.80	32238.71
807.33	32163.25
809.86	32163.13
812.39	32231.96
814.92	32238.32
817.45	32163.37
819.93	30533.96
822.42	30533.97
824.90	30594.68
827.38	30533.99
829.81	28602.84
832.24	28609.60
834.67	28609.61
837.10	28609.62
839.53	28609.63
841.95	28617.48
844.38	28617.51
846.81	28617.52
849.24	28617.54
851.67	28617.56
854.10	28617.58
856.53	28618.31
858.96	28621.83
861.39	28621.83
863.82	28621.84
866.25	28621.86
868.68	28714.12
871.11	28714.17
873.54	28714.17
875.97	28714.94
878.40	28708.97
880.83	28788.49
883.26	28712.77
885.69	28712.64
888.12	28709.03
890.56	28788.61
892.99	28712.83
895.42	28732.44
897.85	28730.18
900.28	28809.73
902.71	28733.98
905.14	28734.70
907.57	28937.73
910.01	28935.40
912.44	29014.97
914.87	28939.19
917.30	28939.81
919.73	28933.85
922.17	29009.38
924.60	29013.53
927.03	28937.65
929.46	28933.92
931.89	29009.86
934.34	29013.00
936.79	29144.32
939.24	29144.44
941.70	29140.84
944.15	29219.73
946.60	29017.35
949.05	29350.74
951.50	29349.78
953.95	29346.18
956.40	29425.17
958.86	29424.68
961.31	29348.29
963.76	29344.64
966.21	29420.74
968.67	29423.82
971.12	29348.45
973.57	29344.71
976.02	29420.14
978.47	29315.40
980.93	29571.01
983.39	29702.06
985.85	29830.01
988.32	30037.97
990.79	30191.10
993.27	30454.18
995.75	30721.29
998.23	30995.23
1000.73	31341.60
1003.23	31609.43
1005.73	31878.76
1008.24	31932.93
1010.76	32155.75
1013.28	32366.45
1015.80	32683.57
1018.33	32914.10
1020.86	32699.08
1023.39	32923.59
1025.93	33089.18
1028.47	33256.45
1031.01	33358.05
1033.55	33453.68
1036.09	33645.66
1038.64	33844.33
1041.20	34119.50
1043.75	34338.12
1046.30	34373.22
1048.85	34490.10
1051.41	34622.13
1053.97	34768.49
1056.53	35037.41
1059.09	35153.57
1061.65	35177.42
1064.21	35213.24
1066.78	35236.77
1069.34	35286.51
1071.90	35321.91
1074.47	35328.60
1077.03	35339.91
1079.60	35481.10
1082.17	35703.98
1084.74	35850.42
1087.32	35985.15
1089.90	36209.78
1092.49	36481.81
1095.08	36759.67
1097.67	37031.53
1100.28	37305.25
1102.89	37668.45
1105.50	37941.79
1108.12	38299.04
1110.75	38532.45
1113.38	38764.63
1116.02	39011.68
1118.66	39215.44
1121.30	39426.95
1123.95	39617.39
1126.60	39828.09
1129.25	40067.52
1131.91	40228.44
1134.56	40395.64
1137.22	40527.03
1139.89	40703.38
1142.55	40794.45
1145.22	40862.09
1147.88	40940.40
1150.55	40977.19
1153.22	40986.01
1155.89	41012.28
1158.55	41027.72
1161.22	41043.17
1163.89	41070.87
1166.56	41201.10
1169.23	41210.96
1171.90	41216.05
1174.57	41300.35
1177.25	41327.93
1179.92	41336.27
1182.59	41352.31
1185.27	41363.97
1187.94	41434.04
1190.62	41441.35
1193.29	41448.02
1195.97	41457.24
1198.64	41463.57
1201.32	41468.09
1203.99	41471.50
1206.67	41474.38
1209.34	41474.44
1212.02	41475.11
1214.69	41475.48
1217.36	41477.27
1220.04	41480.08
1222.72	41482.74
1225.39	41485.91
1228.05	41503.11
1230.70	41504.98
1233.36	41515.32
1236.01	41519.85
1238.66	41519.85
1241.31	41522.61
1243.97	41522.61
1246.62	41527.60
1249.27	41527.60
1251.92	41527.60
1254.58	41528.44
1257.23	41529.28
1259.88	41529.28
1262.54	41529.92
1265.19	41529.92
1267.85	41529.92
1270.50	41529.92
1273.16	41529.92
1275.81	41530.11
1278.46	41530.11
1281.12	41530.20
1283.77	41530.87
1285.87	34310.99
1287.97	34311.91
1290.08	34311.91
1292.18	34311.91
1294.28	34312.06
1296.38	34312.06
1298.48	34312.06
1300.58	34314.78
1302.69	34314.78
1304.79	34314.78
1306.89	34314.78
1308.99	34314.77
1311.09	34314.78
1313.19	34315.15
1314.75	14579.60
1316.26	27269.08
1317.78	27342.86
1319.29	27416.04
1320.80	27488.14
1322.32	27562.05
1323.84	27635.99
1325.36	27707.61
1326.88	27779.91
1328.41	27854.62
1329.93	27928.13
1331.46	28000.57
1332.99	28074.76
1334.52	28148.95
1336.05	28220.62
1337.59	28293.86
1339.12	28368.04
1340.66	28524.23
1342.21	28593.57
1343.75	27233.64
1345.28	27293.34
1346.82	27356.05
1348.36	27429.58
1349.90	27502.81
1351.45	27568.76
1352.99	27615.77
1354.53	27656.06
1356.08	27712.02
1357.63	27766.38
1359.18	27813.15
1360.73	27876.27
1362.28	27962.81
1363.83	28025.82
1365.38	28108.09
1366.93	28179.94
1368.49	28253.56
1370.04	28326.63
1371.60	28399.66
1373.16	28473.48
1374.72	28546.28
1376.29	28618.73
1377.85	28691.80
1379.42	28767.78
1380.99	28843.02
1382.56	28902.63
1384.13	28944.24
1385.70	28985.61
1387.27	28988.55
1388.84	28997.15
1390.41	29000.61
1391.98	29003.75
1393.55	29007.03
1395.12	29009.50
1396.70	29012.61
1398.27	29016.48
1399.84	29029.68
1401.41	29032.76
1402.98	29057.57
1404.56	29074.37
1406.14	29116.17
1407.72	29176.07
1409.29	29233.44
1410.88	29292.70
1412.46	29349.57
1414.04	29408.11
1415.62	29465.47
1417.21	29472.82
1418.80	29475.05
1420.39	29475.14
1421.97	29475.15
1423.56	29475.15
1425.14	29476.13
1426.72	29476.13
1428.31	29477.65
1429.89	29477.65
1431.48	29477.80
1433.06	29478.42
1434.65	29478.98
1436.23	29479.53
1437.82	29481.19
1439.40	29482.86
1440.99	29487.24
1442.57	29492.17
1444.16	29497.89
1445.74	29505.62
1447.33	29510.29
1448.92	29515.65
1450.50	29553.95
1452.09	29627.89
1453.68	29703.17
1455.27	29780.79
1456.86	29856.08
1458.46	29931.63
1460.06	30007.94
1461.66	30083.63
1463.26	30160.20
1464.86	30237.35
1466.47	30311.98
1468.07	30386.81
1469.68	30545.10
1471.29	30620.61
1472.90	30696.60
1474.52	30771.46
1476.13	30847.07
1477.75	30923.39
1479.37	30997.86
1480.99	31074.66
1482.61	31151.05
1484.23	31227.40
1485.86	31302.37
1487.48	31379.82
1489.11	31418.13
1490.73	31462.64
1492.36	31528.82
1493.99	31595.10
1495.62	31686.79
1497.26	31757.64
1498.89	31811.46
1500.52	31883.57
1502.16	31929.80
1503.79	31996.36
1505.43	32066.48
1507.07	32134.35
1508.70	32171.69
1510.34	32216.77
1511.98	32260.05
1513.62	32294.89
1515.26	32303.21
1516.90	32353.04
1518.54	32383.80
1520.18	32383.89
1521.83	32383.89
1523.47	32383.91
1525.11	32383.91
1526.75	32390.42
1528.39	32390.49
1530.03	32401.31
1531.67	32404.94
1533.32	32427.01
1534.96	32473.12
1536.60	32484.47
1538.25	32521.23
1539.89	32550.78
1541.53	32566.10
1543.18	32566.29
1544.82	32568.21
1546.47	32569.55
1548.11	32570.64
1549.76	32571.73
1551.40	32577.22
1553.04	32577.22
1554.69	32579.72
1556.33	32584.72
1557.98	32588.05
1559.62	32588.05
1561.27	32589.41
1562.91	32594.71
1564.56	32595.54
1566.20	32598.04
1567.85	32599.71
1569.49	32601.39
1571.14	32601.39
1572.78	32603.51
1574.43	32605.82
1576.07	32606.51
1577.72	32606.50
1579.36	32606.51
1581.01	32607.35
1582.65	32607.35
1584.30	32607.35
1585.94	32607.35
1587.59	32607.35
1589.23	32607.35
1590.88	32609.27
1592.52	32610.11
1594.17	32612.68
1595.81	32620.49
1597.46	32621.15
1599.10	32622.46
1600.75	32624.91
1602.39	32626.44
1604.04	32626.47
1605.68	32626.51
1607.33	32626.57
1608.97	32626.57
1610.62	32626.57
1612.26	32628.29
1613.90	32632.27
1615.55	32632.27
1617.19	32634.77
1618.84	32634.77
1620.48	32634.77
1622.12	32634.77
1623.77	32634.77
1625.41	32634.77
1627.06	32634.77
1628.70	32634.78
1630.34	32634.78
1631.98	32634.78
1633.94	16337.46
1636.75	33702.38
1639.55	35395.96
1642.33	37041.79
1645.10	38785.55
1647.87	40571.37
1650.64	42105.29
1653.44	44549.11
1656.26	46345.26
1659.09	48040.52
1661.92	49315.84
1664.73	50292.00
1667.54	51040.71
1670.34	51606.00
1673.15	51651.37
1675.95	51663.09
1678.76	51835.97
1681.56	51841.17
1684.37	52015.36
1687.18	52017.74
1690.00	52020.86
1692.81	52030.67
1695.63	52033.13
1697.84	33708.77
1700.05	42336.33
1702.26	42337.25
1703.92	20003.28
1705.53	32635.80
1707.14	32635.80
1708.75	32635.80
1710.36	32635.80
1711.97	32635.80
1713.58	32635.80
1715.19	32635.80
1716.80	32635.80
1718.41	32635.79
1720.01	32635.80
1721.61	32636.68
1723.22	32637.52
1724.82	32637.52
1726.42	32637.52
1728.03	32638.59
1729.16	0.00
1730.29	0.00
