sample	Ncells	threads	scice_total_time_sec
ZhengMix_12073	11749	1	8440.0644
ZhengMix_12073	11749	10	1802.4039
ZhengMix_12073	11749	20	805.2912
ZhengMix_12073	11749	40	904.9498
ZhengMix_12073	11749	5	1827.8557
ZhengMix_2410	2396	1	1094.6516
ZhengMix_2410	2396	10	192.0741
ZhengMix_2410	2396	20	161.9217
ZhengMix_2410	2396	40	180.5527
ZhengMix_2410	2396	5	282.2785
ZhengMix_785	778	1	366.4621
ZhengMix_785	778	10	77.9581
ZhengMix_785	778	20	79.3564
ZhengMix_785	778	40	102.7214
ZhengMix_785	778	5	110.6381
ZhengMix_7993	7807	1	4245.4583
ZhengMix_7993	7807	10	877.3258
ZhengMix_7993	7807	20	467.2231
ZhengMix_7993	7807	40	481.1676
ZhengMix_7993	7807	5	844.8182
ZhengMix8eq	3994	1	1962.6784
ZhengMix8eq	3994	10	411.4671
ZhengMix8eq	3994	20	230.4922
ZhengMix8eq	3994	40	272.6899
ZhengMix8eq	3994	5	456.6209
