sample_name	Ncells	threads	scice_peak_memory_mb	scice_total_time_sec	scicer_peak_memory_mb	scicer_total_time_sec
ZhengMix8eq	3994	1	4414.214844	2437.4633	756.878906	1470.62
ZhengMix8eq	3994	5	4700.417969	894.5125	2643.140625	329.63
ZhengMix8eq	3994	10	3178.882812	870.779	4694.277344	191.56
ZhengMix8eq	3994	20	4558.019531	682.4427	16192.61719	87.17
ZhengMix8eq	3994	40	3398.867188	726.2269	31706.21484	59.914213
ZhengMix_12073	11749	1	8956.453125	11280.6357	1338.6875	5153.36
ZhengMix_12073	11749	5	9262.925781	4209.6547	3735.636719	1126.39
ZhengMix_12073	11749	10	9203.699219	4376.9755	6000.230469	679.02
ZhengMix_12073	11749	20	9455.722656	3526.5055	20891.51172	241.19
ZhengMix_12073	11749	40	9447.785156	3600.7786	40892.43359	176.243766
ZhengMix_2410	2396	1	3171.414062	1299.0196	698.234375	802.86
ZhengMix_2410	2396	5	3163.960938	479.6293	2375.601562	196.53
ZhengMix_2410	2396	10	3444.886719	385.5025	3959.742188	100.88
ZhengMix_2410	2396	20	3005.3125	355.9114	3527.066406	46.99
ZhengMix_2410	2396	40	3415.605469	374.5352	695.613281	34.986768
ZhengMix_785	778	1	2739.585938	443.5245	529.632812	231.91
ZhengMix_785	778	5	2891.40625	183.7917	2185.457031	58.72
ZhengMix_785	778	10	2892.988281	143.8875	3932.722656	37.29
ZhengMix_785	778	20	3020.597656	144.2626	8337.371094	22
ZhengMix_785	778	40	3132.855469	167.2962	588.191406	18.249496
ZhengMix_7993	7807	1	3981.925781	5675.0801	1081.742188	3249.39
ZhengMix_7993	7807	5	4252.242188	1964.6744	3133.933594	884.8
ZhengMix_7993	7807	10	4143.691406	2157.3522	5412.492188	409.14
ZhengMix_7993	7807	20	4310.945312	1648.0429	18531.96484	155.83
ZhengMix_7993	7807	40	4534.234375	1613.4274	35892.28516	107.464108
